ID,Title,Bechdel Pass
tt1241317,Death Note,False
tt4686844,The Death of Stalin,False
tt5493706,Death Race 2050,True
tt4144332,Deidra & Laney Rob a Train,True
tt5117876,Descendants 2,True
tt3469046,Despicable Me 3,True
tt5390504,Detroit,False
tt6003368,Diary of a Wimpy Kid: The Long Haul,False
tt6029106,Dim the Fluorescents,True
tt3203620,The Dinner,True
tt3521126,The Disaster Artist,True
tt7401540,Disco,True
tt5155780,The Discovery,True
tt6108178,Disobedience,True
tt6814914,Djam,True
tt1389072,Downsizing,False
tt5013056,Dunkirk,False
tt3255590,El Camino Christmas,False
tt6870750,El libro de Lila,True
tt6441072,Embrasse-moi!,True
tt4877122,The Emoji Movie,False
tt3986820,The Endless,False
tt6069126,The Escape,True
tt5001718,"Everything, Everything",True
tt4630562,The Fate of the Furious,True
tt5980798,Felicite,True
tt3411444,Ferdinand,True
tt4465564,Fifty Shades Darker,True
tt6053438,First Reformed,False
tt3401882,Fist Fight,True
tt5649144,The Florida Project,True
tt2582784,Flower,True
tt4157510,For Here or To Go?,True
tt1615160,The Foreigner,False
tt5829040,Fun Mom Dinner,True
tt6548966,Gekijoban Fairy Tail: Dragon Cry,True
tt5795086,Gemini,True
tt1981128,Geostorm,True
tt3748172,Gerald's Game,True
tt5052448,Get Out,True
tt1219827,Ghost in the Shell,True
tt5516328,Ghost Stories,False
tt4481414,Gifted,True
tt3564472,Girls Trip,True
tt2378507,The Glass Castle,True
tt5635086,God's Own Country,False
tt5687334,Godard Mon Amour,False
tt2568862,Going In Style,False
tt4846232,Good Time,True
tt2417712,Goon: Last of the Enforcers,False
tt1485796,The Greatest Showman,True
tt3896198,Guardians of the Galaxy Vol. 2,True
tt5308322,Happy Death Day,True
tt1959563,The Hitman's Bodyguard,True
tt5719700,Home Again,True
tt5478478,Hostiles,True
tt4795124,How to Be a Latin Lover,False
tt7342204,I Can Speak,True
tt5710514,I Don't Feel at Home in This World Anymore,True
tt4547194,I Kill Giants,True
tt5580036,"I, Tonya",True
tt5990342,The Incredible Jessica James,True
tt5962210,Ingrid Goes West,True
tt5598192,Innan vi dor,True
tt1396484,It,True
tt4695012,It Comes at Night,True
tt5878326,"Jesus, Bro!",False
tt3348730,Jigsaw,True
tt4425200,John Wick: Chapter 2,False
tt2283362,Jumanji: Welcome to the Jungle,True
tt6002232,Jusqu'a la garde (Custody),True
tt0974015,Justice League,True
tt5633706,Karera ga honki de amu toki wa (Close Knit),True
tt1458169,Kidnap,True
tt5715874,The Killing of a Sacred Deer,True
tt1972591,King Arthur,False
tt4649466,Kingsman: The Golden Circle,False
tt3731562,Kong: Skull Island,False
tt5176252,La llamada,True
tt4925292,Lady Bird,True
tt5023260,The Last Word,True
tt4116284,The LEGO Batman Movie,True
tt5442430,Life,True
tt5666304,The Little Hours,True
tt3315342,Logan,True
tt5439796,Logan Lucky,True
tt3262342,Loving Vincent,False
tt5859238,Lucky,False
tt3887208,The Mad Ones,True
tt3296908,The Man with the Iron Heart,False
tt5175450,Mark Felt: The Man Who Brought Down the White House,False
tt5301662,Marshall,False
tt6336356,Mary and The Witch's Flower,True
tt3906082,Mary Shelley,True
tt5833846,Maximilian,False
tt4348012,Mayhem,True
tt4899370,Megan Leavy,True
tt5536736,The Meyerowitz Stories (new and selected),False
tt4717402,MFKZ,False
tt4209788,Molly's Game,True
tt5462326,Mom and Dad,True
tt6536944,Monster High: Electrified,True
tt5109784,Mother!,False
tt2226597,The Mountain Between Us,True
tt2396589,Mudbound,True
tt2345759,The Mummy,False
tt3402236,Murder on the Orient Express,True
tt4411596,My Cousin Rachel,True
tt2291540,My Friend Dahmer,False
tt4131800,My Little Pony: The Movie,True
tt6048930,Naked,False
tt5914996,Nogemu noraifu: Zero,True
tt3486626,The Nut Job 2: Nutty By Nature,True
tt3967856,Okja,True
tt7341676,OM+ME,True
tt5607714,On Body and Soul,True
tt0460890,The Only Living Boy in New York,False
tt3829920,Only the Brave,False
tt4468740,Paddington 2,True
tt6805302,Petit paysan,False
tt5776858,Phantom Thread,True
tt3531202,Pilgrimage,False
tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,False
tt4765284,Pitch Perfect 3,True
tt6524480,Plasmatic Day,False
tt6595896,Pokemon the Movie: I Choose You!,True
tt6467968,Posoki (Directions),False
tt6294822,The Post,True
tt3717490,Power Rangers,True
tt6133130,Professor Marston and the Wonder Women,True
tt6868216,Psych: The Movie,True
tt5675620,The Punisher,True
tt5296086,Revelator,True
tt6738136,Revenge,False
tt0498381,Rings,False
tt5638642,The Ritual,False
tt6000478,"Roman J. Israel, Esq.",True
tt4799050,Rough Night,True
tt2582576,Sand Castle,False
tt5997830,Seagull,True
tt6108090,Secret Superstar,True
tt4956232,seven sisters,True
tt2872518,The Shack,True
tt5580390,The Shape of Water,True
tt6298780,Sharknado 5: Global Swarming,True
tt6249434,Shelter,True
tt5328952,Signature Move,True
tt7160070,Singwa hamgge,False
tt2334871,Snatched,True
tt3922818,The Space Between Us,True
tt2250912,Spider-Man: Homecoming,True
tt4995790,The Square,False
tt2527336,Star Wars: The Last Jedi,True
tt2582498,Sweet Virginia,True
tt2763304,T2 Trainspotting,True
tt1412528,Table 19,True
tt4738802,That's Not Me,True
tt6304046,Thelma,True
tt3501632,Thor: Ragnarok,False
tt5649108,Thoroughbreds,True
tt5027774,"Three Billboards Outside Ebbing, Missouri",True
tt5541240,To the bone,True
tt3371366,Transformers: The Last Knight,False
tt0491203,Tulip Fever,True
tt4065552,Tuntematon sotilas,True
tt6423776,Un beau soleil interieur,False
tt3462710,Unforgettable,True
tt2338454,Unicorn Store,True
tt1734493,Unlocked,True
tt2239822,Valerian and the City of a Thousand Planets,False
tt5862312,Verónica,True
tt5816682,Victoria & Abdul,False
tt4218696,The Wall,False
tt3450958,War for the Planet of the Apes,False
tt4758646,War Machine,False
tt1536537,What Happened to Monday,True
tt5723286,Wheelman,False
tt3750872,The Wife,True
tt1781058,Wilson,True
tt5362988,Wind River,True
tt5322012,Wish Upon,True
tt7131870,Wolf Warrior 2,False
tt2543472,Wonder,True
tt5825380,Wonder Wheel,True
tt0451279,Wonder Woman,True
tt1293847,xXx: Return of Xander Cage,True
tt5539054,You Get Me,True
tt5742374,You Were Never Really Here,False
tt1179933,10 Cloverfield Lane,True
tt3453052,10 Days In A Madhouse,True
tt4172430,13 Hours,False
tt4385888,20th Century Women,True
tt2304933,The 5th Wave,False
tt3991412,The 9th Life of Louis Drax,False
tt4731136,A Cure for Wellness,False
tt4805316,A Dark Song,False
tt3416532,A Monster Calls,True
tt2392830,A Quiet Passion,True
tt3387266,A United Kingdom,True
tt2112096,Absolutely Fabulous: The Movie,True
tt2140479,The Accountant,False
tt4456850,Adventures in Babysitting,True
tt2567026,Alice Through the Looking Glass,True
tt4247682,All Girls Weekend,True
tt3640424,Allied,True
tt4649416,Almost Christmas,True
tt4392770,Always Shine,True
tt3721936,American Honey,True
tt1985949,The Angry Birds Movie,False
tt2674430,Approaching the Unknown,False
tt5221584,Aquarius,True
tt2543164,Arrival,True
tt5867800,Aruvi,True
tt2094766,Assassin's Creed,False
tt3289956,The Autopsy of Jane Doe,False
tt4651520,Bad Moms,True
tt2261287,Ballerina,True
tt3838728,Bang Gang,True
tt5974388,Bar Bahar,True
tt3628584,Barbershop: The Next Cut,True
tt2975590,Batman v Superman: Dawn of Justice,False
tt5973626,Batman: Return of the Caped Crusaders,False
tt4853102,Batman: The Killing Joke,False
tt5512872,Be Somebody,True
tt3544218,Belgica,False
tt1082807,The Belko Experiment,True
tt5073620,Below Her Mouth,True
tt4443658,Better Watch Out,True
tt3691740,The BFG,True
tt4270492,Billions,True
tt4738360,Birkebeinerne,False
tt4196450,The Birth of a Nation,False
tt1540011,Blair Witch,False
tt1316541,Bliss!,True
tt2702724,The Boss,True
tt3882082,The Boy,True
tt4869556,Breathing Deep,False
tt1473832,Bridget Jones's Baby,True
tt3381008,The Brothers Grimsby,False
tt5700672,Busanhaeng,True
tt4513674,Cafe Society,False
tt2290819,Cam-Girl,True
tt3498820,Captain America: Civil War,True
tt3553976,Captain Fantastic,True
tt5294198,Catfight,True
tt1489889,Central Intelligence,False
tt4468634,Certain Women,True
tt3797868,The Choice,True
tt4666726,Christine,True
tt4682786,Collateral Beauty,False
tt4680182,Colossal,False
tt3065204,The Conjuring 2,True
tt4857264,Contratiempo,False
tt3589968,Courier X,False
tt3014866,Criminal,True
tt2652118,"Crouching Tiger, Hidden Dragon: Sword of Destiny",True
tt4104054,Dad's Army,True
tt5074352,Dangal,True
tt1878841,The Darkness,False
tt1431045,Deadpool,False
tt2927212,Dear Eleanor,True
tt1860357,Deepwater Horizon,False
tt5078204,Demain tout commence,True
tt4645330,Denial,True
tt5786040,Dernieres nouvelles du cosmos,True
tt5348774,Die letzte Sau,False
tt5521550,Dirty 30,True
tt1860213,Dirty Grandpa,False
tt3410834,The Divergent Series: Allegiant,True
tt4730986,Divines,True
tt1211837,Doctor Strange,False
tt4160708,Don't Breathe,True
tt3610746,Don't Hang Up,False
tt5526028,Doukyuusei,False
tt5954304,The Dragon Spell,False
tt2436682,The Duel,False
tt3882074,The Eagle Huntress,False
tt1083452,Eddie the Eagle,False
tt1878870,The Edge of Seventeen,True
tt3655972,El Olivo,True
tt4644822,Electra Woman and Dyna Girl,True
tt3716530,Elle,True
tt2093991,Elvis & Nixon,False
tt3958780,Equity,True
tt2937696,Everybody Wants Some,False
tt5538078,Extremis,True
tt4746506,Fai bei sogni,False
tt3183660,Fantastic Beasts and Where to Find Them,True
tt2671706,Fences,True
tt5595168,Final Fantasy XV,True
tt2277860,Finding Dory,True
tt2025690,The Finest Hours,True
tt4262174,First Girl I Loved,True
tt4136084,Florence Foster Jenkins,True
tt3387542,The Forest,True
tt4158096,Free Fire,False
tt1124037,Free State of Jones,False
tt3352390,Friend Request,True
tt2452386,The Fundamentals of Caring,True
