Name,Gender
Diego Fuentes,2
Cody Ray Thompson,0
Fionn Whitehead,2
Tom Glynn-Carney,2
Aneurin Barnard,2
Jack Lowden,2
Harry Styles,2
James D'Arcy,2
Barry Keoghan,2
Kenneth Branagh,2
Cillian Murphy,2
Mark Rylance,2
Tom Hardy,2
Michael Caine,2
Billy Howle,2
Bobby Lockwood,2
Miranda Nolan,1
Kevin Guthrie,2
Brian Vernel,2
Elliott Tittensor,2
Matthew Marsh,2
Jochum ten Haaf,2
Damien Bonnard,2
Adam Long,2
Michael Fox,2
Harry Richardson,2
Will Attenborough,0
James Bloor,2
Paul Riley Fox,2
Richard Sanderson,0
Valiant Michael,0
Johnny Otto,0
Jan-Michael Rosner,0
Brandon Duracher,0
Samgar Jacobs,0
Robby Prinsen,0
Simon Ates,0
Caleb Bailey,0
Thomas Millet,0
Constantin Balsan,0
Aldo Beqiri,0
Sander Huisman,0
Callum Blake,0
Luke Thompson,0
Crystal Pereyra,0
Bram Vlot,0
Calam Lynch,0
Jack Riddiford,2
Merlijn Willemsen,0
Michel Biel,0
Niels van 't Dek,0
Nirman Wolf,0
Tom Gill,2
Nick Vorsselman,2
Jedediah Jenk,2
Christian Janner,0
Bradley Hall,0
Jack Gover,0
Davey Jones,0
Charley Palmer Rothwell,2
Kim Hartman,1
Bill Milner,2
Eric Richard,2
Harry Collett,2
Christian Roberts,0
John Nolan,2
Frances McDormand,1
Woody Harrelson,2
John Hawkes,2
Peter Dinklage,2
Abbie Cornish,1
Lucas Hedges,2
Caleb Landry Jones,2
Samara Weaving,1
Zeljko Ivanek,2
Clarke Peters,2
Amanda Warren,1
Kerry Condon,1
Darrell Britt-Gibson,2
Kathryn Newton,1
Sandy Martin,1
Riya May Atwood,0
Selah Atwood,0
Malaya Rivera Drew,1
Christopher Berry,2
Jerry Winsett,2
Brendan Sexton III,2
Alejandro Barrios,2
Jason Ledford,0
Gregory Nassif St. John,0
Allyssa Barley,0
William J. Harrison,0
Eleanor Threatt,1
Michael Aaron Milligan,2
Saoirse Ronan,1
Laurie Metcalf,1
Tracy Letts,2
Timothée Chalamet,2
Beanie Feldstein,1
Lois Smith,1
Stephen Henderson,2
Odeya Rush,1
Jordan Rodrigues,2
Marielle Scott,1
John Karna,2
Jake McDorman,2
Bayne Gibby,1
Laura Marano,1
Marietta DePrima,1
Daniel Zovatto,2
Kristen Cloke,1
Andy Buckley,2
Paul Keller,2
Myra Turley,1
Bob Stephenson,2
Abhimanyu Katyal,2
